instance,tier_pair,n_left,n_right,mean_gap_left,mean_gap_right,mean_gap_delta_abs,ks_statistic,ks_pvalue
G72,T2_vs_T4,1006,3100,3.165681,3.166510,0.000830,0.018941,0.942154
G72,T3_vs_T4,1167,3100,3.167246,3.166510,0.000736,0.012451,0.999198
G77,T2_vs_T4,1000,3100,3.065070,3.085915,0.020845,0.073484,0.000534614
G77,T3_vs_T4,1167,3100,3.077264,3.085915,0.008652,0.039357,0.140032
G81,T2_vs_T4,1000,3100,3.132176,3.149029,0.016853,0.047323,0.0652375
G81,T3_vs_T4,1167,3100,3.133114,3.149029,0.015915,0.055520,0.0102493
